x.bmi5cat,income2,x.state,Freq
1,1,1,14041
2,1,1,50283
3,1,1,42382
4,1,1,83175
1,2,1,4781
2,2,1,36478
3,2,1,52216
4,2,1,71980
1,3,1,8021
2,3,1,67433
3,3,1,84899
4,3,1,97571
1,4,1,3929
2,4,1,78724
3,4,1,89481
4,4,1,109705
1,5,1,4874
2,5,1,106843
3,5,1,91208
4,5,1,109613
1,6,1,5986
2,6,1,96843
3,6,1,139926
4,6,1,146735
1,7,1,7355
2,7,1,119574
3,7,1,160574
4,7,1,181039
1,8,1,3336
2,8,1,222455
3,8,1,300855
4,8,1,248865
1,77,1,14194
2,77,1,138145
3,77,1,93518
4,77,1,126647
1,99,1,2614
2,99,1,85191
3,99,1,125849
4,99,1,104444
1,1,2,1019
2,1,2,5848
3,1,2,4761
4,1,2,5379
1,2,2,306
2,2,2,4811
3,2,2,5634
4,2,2,6529
1,3,2,543
2,3,2,7244
3,3,2,11903
4,3,2,6957
1,4,2,0
2,4,2,15545
3,4,2,9720
4,4,2,8149
1,5,2,856
2,5,2,11997
3,5,2,13299
4,5,2,14314
1,6,2,1051
2,6,2,20015
3,6,2,12911
4,6,2,12343
1,7,2,1939
2,7,2,26390
3,7,2,22947
4,7,2,17215
1,8,2,2052
2,8,2,54514
3,8,2,72470
4,8,2,58425
1,77,2,2012
2,77,2,20369
3,77,2,18758
4,77,2,20259
1,99,2,1717
2,99,2,9661
3,99,2,9683
4,99,2,5479
1,1,4,20076
2,1,4,41065
3,1,4,43664
4,1,4,54542
1,2,4,4733
2,2,4,54026
3,2,4,61149
4,2,4,87462
1,3,4,3891
2,3,4,86091
3,3,4,117349
4,3,4,124561
1,4,4,12665
2,4,4,130163
3,4,4,129771
4,4,4,135423
1,5,4,5423
2,5,4,130789
3,5,4,191635
4,5,4,163145
1,6,4,20462
2,6,4,205019
3,6,4,213295
4,6,4,183035
1,7,4,11228
2,7,4,218449
3,7,4,249828
4,7,4,201619
1,8,4,19398
2,8,4,492919
3,8,4,489930
4,8,4,316723
1,77,4,3994
2,77,4,162867
3,77,4,128130
4,77,4,136897
1,99,4,7876
2,99,4,133227
3,99,4,136077
4,99,4,70663
1,1,5,3688
2,1,5,27856
3,1,5,23930
4,1,5,50494
1,2,5,1501
2,2,5,28984
3,2,5,25299
4,2,5,63188
1,3,5,5262
2,3,5,51845
3,3,5,57091
4,3,5,69629
1,4,5,8701
2,4,5,51917
3,4,5,81812
4,4,5,83226
1,5,5,2306
2,5,5,69542
3,5,5,72841
4,5,5,82236
1,6,5,9666
2,6,5,71820
3,6,5,90730
4,6,5,98946
1,7,5,6114
2,7,5,68074
3,7,5,98203
4,7,5,113370
1,8,5,8747
2,8,5,105474
3,8,5,163504
4,8,5,139909
1,77,5,2014
2,77,5,64494
3,77,5,51826
4,77,5,65001
1,99,5,2420
2,99,5,40206
3,99,5,46629
4,99,5,26681
1,1,6,68631
2,1,6,653202
3,1,6,582486
4,1,6,616336
1,2,6,64643
2,2,6,500428
3,2,6,553348
4,2,6,493568
1,3,6,24943
2,3,6,384192
3,3,6,517519
4,3,6,471268
1,4,6,45392
2,4,6,495818
3,4,6,532069
4,4,6,468294
1,5,6,22030
2,5,6,776277
3,5,6,891051
4,5,6,672944
1,6,6,29994
2,6,6,910797
3,6,6,1075521
4,6,6,747352
1,7,6,25250
2,7,6,1070856
3,7,6,1150265
4,7,6,930436
1,8,6,154783
2,8,6,3884361
3,8,6,3807744
4,8,6,2067868
1,77,6,34627
2,77,6,546895
3,77,6,386643
4,77,6,342067
1,99,6,40678
2,99,6,796816
3,99,6,622738
4,99,6,380678
1,1,8,4154
2,1,8,45097
3,1,8,26796
4,1,8,22266
1,2,8,2157
2,2,8,53142
3,2,8,32059
4,2,8,24607
1,3,8,3661
2,3,8,63604
3,3,8,59722
4,3,8,51271
1,4,8,7467
2,4,8,102746
3,4,8,93383
4,4,8,79887
1,5,8,5755
2,5,8,126285
3,5,8,107764
4,5,8,66605
1,6,8,6978
2,6,8,179537
3,6,8,178650
4,6,8,112841
1,7,8,6339
2,7,8,204596
3,7,8,232742
4,7,8,132082
1,8,8,12267
2,8,8,603848
3,8,8,572511
4,8,8,344026
1,77,8,16518
2,77,8,141844
3,77,8,93697
4,77,8,73805
1,99,8,4705
2,99,8,96308
3,99,8,76980
4,99,8,34060
1,1,9,3520
2,1,9,20929
3,1,9,20902
4,1,9,20375
1,2,9,2724
2,2,9,17567
3,2,9,20909
4,2,9,20938
1,3,9,2689
2,3,9,39510
3,3,9,42426
4,3,9,33808
1,4,9,3263
2,4,9,44128
3,4,9,62894
4,4,9,49271
1,5,9,2568
2,5,9,53742
3,5,9,61090
4,5,9,60502
1,6,9,1492
2,6,9,68258
3,6,9,75461
4,6,9,66622
1,7,9,4618
2,7,9,100775
3,7,9,108607
4,7,9,90809
1,8,9,6844
2,8,9,342778
3,8,9,400684
4,8,9,248751
1,77,9,10403
2,77,9,87074
3,77,9,72909
4,77,9,61424
1,99,9,1527
2,99,9,99364
3,99,9,84123
4,99,9,51764
1,1,10,1263
2,1,10,4170
3,1,10,6844
4,1,10,6347
1,2,10,488
2,2,10,5361
3,2,10,6385
4,2,10,8484
1,3,10,946
2,3,10,10163
3,3,10,12887
4,3,10,17013
1,4,10,1371
2,4,10,16297
3,4,10,18417
4,4,10,18860
1,5,10,319
2,5,10,15199
3,5,10,17485
4,5,10,17573
1,6,10,1330
2,6,10,20992
3,6,10,29485
4,6,10,26089
1,7,10,1600
2,7,10,29265
3,7,10,29649
4,7,10,30187
1,8,10,1636
2,8,10,67728
3,8,10,81187
4,8,10,72828
1,77,10,1590
2,77,10,21772
3,77,10,13367
4,77,10,15678
1,99,10,354
2,99,10,18548
3,99,10,18659
4,99,10,16123
1,1,11,996
2,1,11,9514
3,1,11,9157
4,1,11,12842
1,2,11,60
2,2,11,6503
3,2,11,4513
4,2,11,8411
1,3,11,766
2,3,11,8654
3,3,11,6709
4,3,11,9648
1,4,11,377
2,4,11,9075
3,4,11,11464
4,4,11,11250
1,5,11,464
2,5,11,10354
3,5,11,9903
4,5,11,9862
1,6,11,1276
2,6,11,11067
3,6,11,12825
4,6,11,13517
1,7,11,1610
2,7,11,24149
3,7,11,15453
4,7,11,15284
1,8,11,4158
2,8,11,113559
3,8,11,74081
4,8,11,35534
1,77,11,2169
